filed (Year filed),end (Year end),host (Host state ISO3),caseno (Case no.),parties (Parties to arbitration),direct,execrlc,execrlc_dummy,execrlc_count,home (Home state ISO3),winner,settled,partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
2014,pending,GIN,ARB/14/22,BSG Resources Limited v. Republic of Guinea,NA,n.a.,NA,NA,ISR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Guinea Investment Law (1995, 1987)",Mining,MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,GMB,ARB/14/7,African Petroleum Gambia Limited (Block A4) v. Republic of The Gambia,NA,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas,OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,GMB,ARB/14/6,African Petroleum Gambia Limited (Block A1) v. Republic of The Gambia,NA,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas,OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,GNQ,CONC(AF)/12/1,"Hess Equatorial Guinea, Inc. y Tullow Equatorial Guinea Limited v. Republic of Equatorial Guinea",NA,n.a.,NA,NA,ESP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID CR,Equatorial Guinea-Spain BIT,Oil and gas,OIL,US$580m,580,no,n.a.,n.a.,no,n.a.,n.a.,n.a.
2012,pending,HRV,ARB/12/39,Georg Gavrilovic and Gavrilovic d.o.o. v. Republic of Croatia,NA,n.a.,NA,NA,AUT,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Austria-Croatia BIT,Agricultural enterprise (meat),AGR,Over US$200m,200,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,HRV,ARB/13/12,"Lieven J. van Riet, Chantal C. van Riet and Christopher van Riet v. Republic of Croatia",NA,n.a.,NA,NA,BELLUX,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Croatia BIT,Tourism (resort),SER,Approximately US$30m,30,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,HRV,ARB/13/32,MOL Hungarian oil and Gas Company Plc v. Republic of Croatia,NA,n.a.,NA,NA,HUN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Oil and gas,OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,HRV,ARB/15/5,B3 Croatian Courier Cooperatief U.A. v. Republic of Croatia,NA,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Croatia-Netherlands BIT,Postal services,SER,EUR15m,17,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,pending,HUN,n.a.,EDF International SA v. Republic of Hungary,NA,n.a.,NA,NA,FRA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Energy Charter Treaty,Electric power concession,UTL,Over US$100m,100,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,HUN,ARB/13/35,Le Che??que Dejeuner and C.D Holding Internationale v. Hungary,NA,n.a.,NA,NA,FRA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,France-Hungary BIT,Retail (restaurants),SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,HUN,ARB/13/21,Edenred S.A. v. Hungary,NA,n.a.,NA,NA,FRA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,France-Hungary BIT,Retail (restaurants),SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,HUN,ARB/14/20,Sodexo Pass International SAS v. Hungary,NA,n.a.,NA,NA,FRA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,France-Hungary BIT,Retail (restaurants),SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,IDN,n.a.,Indian Metals & Ferro Alloys Ltd v. Republic of Indonesia,NA,n.a.,NA,NA,IND,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,India-Indonesia BIT,Mining (coal),MIN,IDR7700000m,559,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,IND,n.a.,Deutsche Telekom AG v. India,NA,n.a.,NA,NA,DEU,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Germany-India BIT,Telecommunications,TEL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,IND,n.a.,Khaitan Holdings (Mauritius) Limited v. India,NA,n.a.,NA,NA,MUS,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Mauritius-India BIT,Telecommunications (mobile),TEL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,IND,n.a.,Vodafone v. India,NA,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Netherlands-India BIT,Telecommunications,TEL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,IND,n.a.,Cairn Energy PLC v. India,NA,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,India-United Kingdom BIT,Oil and gas (extraction),OIL,US$600m + interest,600,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,ITA,n.a.,Greentech Energy Systems and Novenergia v. Italy,NA,n.a.,NA,NA,DNK,pending,NA,n.a.,NA,LUX,n.a.,n.a.,n.a.,SCC,Energy Charter Treaty,Electric power consession (solar),UTl,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,ITA,ARB/15/50,Eskosol S.p.A. in liquidazione v. Italian Republic,NA,n.a.,NA,NA,BGR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Electric power consession (solar),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,ITA,ARB/15/40,Belenergia S.A. v. Italian Republic,NA,n.a.,NA,NA,LUX,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Electric power consession (solar),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,ITA,ARB/15/37,Silver Ridge Power BV v. Italian Republic,NA,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Electric power concession (solar),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,JOR,ARB/15/24,Ali Alyafei v. Hashemite Kingdom of Jordan,NA,n.a.,NA,NA,QAT,pending,NA,n.a.,NA,ITA,n.a.,n.a.,n.a.,ICSID,Leauge of Arab States Investment,Finance (financial services),FIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,JOR,ARB/15/10,Orange SA v. Hashemite Kingdom of Jordan,NA,n.a.,NA,NA,FRA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,France-Jordan BIT,Telecommunications ,TEL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,KAZ,n.a.,World Wide Minerals v. Kazakhstan,NA,n.a.,NA,NA,CAN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,USSR-Canada BIT?_,Mining (uranium),MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,KAZ,ARB/15/8,Aktau Petrol Ticaret A.S. and Som Petrol Ticaret A.S. v. Republic of Kazakhstan,NA,n.a.,NA,NA,TUR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Kazakhstan -Turkey BIT,Transportation (oil),UTL,US$150m,150,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,KAZ,ARB/15/13,Devincci Salah Hourani and Issam Salah Hourani v. Republic of Kazakhstan,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,GBR,n.a.,n.a.,n.a.,ICSID,"Kazakhstan-United Kingdom BIT, Kazakhstan-United States of America BIT",Manufacturing (medical supplies),MFG,US$170m,170,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,KEN,ARB/15/29,"Cortec Mining Kenya Limited, Cortec (Pty) Limited and Stirling Capital Limited v. Republic of Kenya",NA,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Kenya-United Kingdon BIT,Mining (rare earths),MIN,US$2000000000,2000,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,KOR,ARB/12/37,LSF-KEB Holdings SCA and others v. Republic of Korea,NA,n.a.,NA,NA,BELLUX,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Korea BIT,Banking,FIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,KOR,ARB/15/17,Hanocal Holding B.V. and IPIC International B.V. v. Republic of Korea,NA,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Republic of Korea-Netherlands BIT,Oil and gas,OIL,US$168m,168,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,KOR,n.a.,Mohammad Reza Dayyani and others v. Republic of Korea,NA,n.a.,NA,NA,IRN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Islamic Republic of Iran-Republic of Korea BIT,Manufacturing (electronics),MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,LBN,ARB/15/3,Abed El Jaouni and Imperial Holding SAL v. Lebanese Republic,NA,n.a.,NA,NA,DEU,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Germany-Lebanon BIT,Transportation (air),UTL,unknown,unknown,no,n.a,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,LBR,ARB/11/14,"Diamond Fields Liberia, Inc. v. Republic of Liberia",NA,n.a.,NA,NA,CAN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Mining (minerals),MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,LCA,ARB/12/10,RSM Production Corporation v. Saint Lucia,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas,OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,LTU,n.a.,Vladimir Antonov v. Republic of Lithuania,NA,n.a.,NA,NA,RUS,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICC,Lithuania-Russian Federation BIT,unknown,unknown,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,LTU,n.a.,OAO Gazprom v. Lithuania,NA,n.a.,NA,NA,RUS,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Lithuania-Russian Federation BIT,Oil and gas (distribution),OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,LTU,n.a., R.S.E. Holdings v. Latvia ,NA,n.a.,NA,NA,CHE,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ad hoc,Switzerland-Latvia BIT,Banking ,FIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,LTU,n.a.,LLC Winergy v. Latvia,NA,n.a.,NA,NA,EST,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Latvia-Estonia BIT,Electric power concession (wind),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,MDG,ARB/13/34,Courts (Indian Ocean) Limited and Courts Madagascar S.A.R.L. v. Mauritius,NA,n.a.,NA,NA,MUS,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Mauritius-Madagascar BIT,Retail,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,MEX,n.a.,Degremont v. United Mexican States,NA,n.a.,NA,NA,FRA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,unknown,Mexico-France BIT,Wastewater treatment services,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,MEX,n.a.,Livsmart Holdings v. United Mexican States,NA,n.a.,NA,NA,PAN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,unknown,Mexico-Panama BIT,Import (beverages),SER,US$15m,15,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,MEX,n.a.,KBR Inc. v. United Mexican States,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICC,NAFTA,Oil and gas,OIL,US$400m,400,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,MEX,n.a.,"FCC Construccion, S.A. v. United Mexican States",NA,n.a.,NA,NA,ESP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,unknown,Mexico-Spain BIT,"Tunnel (build, operate)",UTL,MXN1299m,100.4,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,MEX,n.a.,B-Mex LLC et al v. United Mexican States,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Gaming,SER,US$100m,100,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,MEX,n.a.,"Shanara Maritime International, S.A. and Marfield Ltd. Inc. v. United Mexican States",NA,n.a.,NA,NA,PAN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,n.a.,Mexico-Panama BIT,Transportation (maritime),UTL,US$408m,408,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,MNE,n.a.,Central European Aluminium Company (CEAC Holdings Limited) v. Montenegro (parallel at ICSID),NA,n.a.,NA,NA,CYP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Contract with host state,Aluminum (bauxite),MIN,US$1362m,1362,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,pending,MNG,n.a.,"China Heilongjiang International Economic & Technical Cooperative Corp., Beijing Shougang Mining Investment Company Ltd., and Qinhuangdaoshi Qinlong International Industrial Co. Ltd. v. Mongolia",NA,n.a.,NA,NA,CHN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,China-Mongolia BIT,Mining (iron),MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,MRT,ARB/14/23,Tamagot Bumi S.A. and Bumi Mauritania S.A. v. Islamic Republic of Mauritania,NA,n.a.,NA,NA,unknown,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Contract, Mauritania Investment Law",Mining (iron ore),MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,OMN,ARB/15/30,"Samsung Engineering Co., Ltd. v. Sultanate of Oman",NA,n.a.,NA,NA,KOR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Republic of Korea-Oman BIT,Oil and gas,OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,PAK,ARB/11/8,Agility for Public Warehousing Company K.S.C. v. Islamic Republic of Pakistan,NA,n.a.,NA,NA,KWT,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Kuwait-Pakistan BIT,Software,SER,US$100m,100,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,PAK,n.a.,Mr. Ali Allawi v. Islamic Republic of Pakistan,NA,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Pakistan-United Kingdom BIT,Oil and gas (Petroleum gas),OIL,US$573m,573,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,PAN,ARB/14/33,"IBT Group LLC., Constructor, Consulting and Engineering (Panama), S.A., and International Business and Trade, LLC. V. Republic of Panama",NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Panama-United States BIT,Manufacturing (asphalt),MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,PAN,ARB/15/14,Alvarez y Marin Corporation S.A and others v. Republic of Panama,NA,n.a.,NA,NA,CRI,pending,NA,n.a.,NA,NLD,n.a.,n.a.,n.a.,ICSID,"Netherlands Panama BIT, Central America Panama FTA",Tourism,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,PER,ARB/11/21,"DP World Callao S.R.L., P&O Dover (Holding) Limited, and The Peninsular and Oriental Steam Navigation Company v. Republic of Peru",NA,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Peru-United Kingdom BIT, Contract",Port terminal concession,SER,US$200m,200,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,PER,ARB/12/28,Pluspetrol Peru Corporation and others v. Perupetro S.A.,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas,OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,PHL,ARB/11/27,Baggerwerken Decloedt En Zoon NV v. Republic of the Philippines,NA,n.a.,NA,NA,BELLUX,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Philippines BIT,Dredging operations,SER,Philippines Peso 6b,134.01,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,ROM,ARB/14/28,Alpiq AG v. Romania,NA,n.a.,NA,NA,CHE,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Romania-Switzerland BIT, Energy Charter Treaty",Electric power concession,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,ROM,ARB/14/29,"Ioan Micula, Viorel Micula and others v. Romania",NA,n.a.,NA,NA,SWE,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Sweden-Romania BIT,Beverage production enterprise,MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,ROM,ARB/15/31,Gabriel Resources Ltd. and Gabriel Resources (Jersey) v. Romania,NA,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,CAN,n.a.,n.a.,n.a.,ICSID,Canada-Romania BIT and Romania-United Kingdom BIT,Mining (gold),MIN,At least US$500000000,500,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,RUS,7/1/2015,Aeroport Belbek LLC and Mr Igor Valerievich Kolomoisky v. Russia,NA,n.a.,NA,NA,UKR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL PCA,Russian-Ukraine BIT,Transportation (air),UTL,US$15m,15,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,RUS,AA577,Everest Estate LLC et al v. The Russian Federation,NA,n.a.,NA,NA,UKR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Russian-Ukraine BIT,Real Estate (private),RE,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,RUS,2015-29,Limited Liability Company Lugzor and others v. The Russian Federation,NA,n.a.,NA,NA,UKR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Russian-Ukraine BIT,Real Estate,RE,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,RUS,AA568,Privatbank and Finance Company Finilion LLC v. The Russian Federation,NA,n.a.,NA,NA,UKR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Russian-Ukraine BIT,Banking (finance and services),FIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,RUS,2015-35,Stabil LLC and others v. The Russian Federation,NA,n.a.,NA,NA,UKR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Russian-Ukraine BIT,Services (petorl station),SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,RUS,2015-34,PJSC Ukrnafta v. The Russian Federation,NA,n.a.,NA,NA,UKR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Russian-Ukraine BIT,Services (petorl station),SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,SLV,ARB/13/18,Enel Green Power S.p.A. v. Republic of El Salvador,NA,n.a.,NA,NA,ITA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,El Salvador Investment Law (1999),Electric power concession (thermal),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,SRB,n.a.,Mytilineos Holdings v. Serbia,NA,n.a.,NA,NA,GRC,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Greece-Serbia BIT,Mining,MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,SRB,ARB/14/27,Zelena N.V. and Energo-Zelena d.o.o Indija v. Republic of Serbia,NA,n.a.,NA,NA,BELLUX,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Serbia BIT,Waste management,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,SSD,ARB/12/26,Sudapet Company Limited v. Republic of South Sudan,NA,n.a.,NA,NA,SDN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,South Sudan Investment Law (2009),Exploration and production of hydrocarbons,OIL,US$1.2b,1200,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,pending,SVK,n.a.,EuroGas GmbH. v. Slovakia,NA,n.a.,NA,NA,AUT,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Austria-Slovak Republic BIT,Mining (talc),MIN,?_500m,665,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,SVN,ARB/13/10,"Impresa Grassetto S. p. A., in liquidation v. Republic of Slovenia",NA,n.a.,NA,NA,ITA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Italy-Slovenia BIT,Highway construction project,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,TKM,ARB/12/6,Muhammet aap & Sehil Insaat Endustri ve Ticaret Ltd. Sti. v. Turkmenistan,NA,n.a.,NA,NA,TUR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Turkey-Turkmenistan BIT,Construction,RE,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,TKM,n.a.,Erhas and others v. Turkmenistan,NA,n.a.,NA,NA,TUR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Turkey-Turkmenistan BIT,unknown,unknown,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2004,pending,TUN,ARB/04/12,ABCI Investments NV v. Republic of Tunisia,NA,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Netherlands-Tunisia BIT, Tunisia Investment Law (1969)",Banking,FIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,TUN,ARB/12/30,Lundin Tunisia B. V. v. Republic of Tunisia,NA,n.a.,NA,NA,SWE,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas (exploration),OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,TUR,ARB/14/35,Baymina Enerji Anonim Sirketi v. Boru Hatlari ile Petrol Tasima Anonim Sirketi,NA,n.a.,NA,NA,unknown,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Electric power concession (natural gas),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,TUR,ARB/15/8,Aktau Petrol Ticaret A.S. and Som Petrol Ticaret A.S. v. Republic of Kazakhstan,NA,n.a.,NA,NA,KAZ,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Kazakhstan Turkey BIT,Transportation,UTL,US$150,150,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,UGA,ARB/12/34,Tullow Uganda Operations PTY LTD v. Republic of Uganda,NA,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas,OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,UGA,ARB/15/11,Total E&P Uganda BV v. Republic of Uganda,NA,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Uganda BIT,Oil and gas (mining),OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,UKR,ARB/14/9,"City-State N.V., Praktyka Asset Management Company LLC, Crystal-Invest LLC and Prodiz LLC v. Ukraine",NA,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Ukraine BIT,Banking,FIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,UKR,ARB/15/33,Gilward Investments B.V. v. Ukraine,NA,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Ukraine BIT,Transportation (air),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,UKR,n.a.,"Littop Enterprises Limited, Bridgemont Ventures Limited and Bordo Management Limited v. Ukraine",NA,n.a.,NA,NA,CYP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,SCC,Ukraine-Cyprus BIT,Electric power concession,UTL,US$5000m,5000,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
