end (Year end),host (Host state ISO3),filed (Year filed),execme_end,execme_filed,v2pariglef_filed,v2pariglef_filed_dummy,v2pariglef_end_dummy,winner,state_lose,settled,v2pariglef_filed_ref,direct,v2pariglef_end,v2pariglef_end_ref1,v2pariglef_end_ref2,caseno (Case no.),parties (Parties to arbitration),direct2,execrlc,execrlc_dummy2,execrlc_dummy,execrlc_count,home (Home state ISO3),partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
2013,MEX,2009,PRI,PAN,4.545,0,0,investor,1,0,,0,3.871,,,ARB(AF)/09/2,"Abengoa, S.A. y COFIDES, S.A. v. United Mexican States",1,2,1,NA,1,ESP,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Mexico-Spain BIT,Waste management (hazardous),SER,unknown,unknown,yes,"Mexican Pesos 491809534, plus interest",37.7,no,n.a.,n.a.,n.a.
2009,MEX,2005,PAN,PAN,4.666,0,0,investor,1,0,,0,4.523,,,ARB(AF)/05/2,Cargill Incorporated v. United Mexican States,1,1,0,0,0,CAN,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Manufacturing (sweeteners),MFG,US$100m,100,yes,US$77329240; Respondent to pay full cost of arbitration and half of Claimant's legal costs,77.3,no,n.a.,n.a.,n.a.
2009,MEX,2004,PAN,PAN,4.696,0,0,investor,1,0,,0,4.523,,,ARB(AF)/04/1,"Corn Products International, Inc. v. United Mexican States",1,1,0,0,0,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Manufacturing (sweeteners),MFG,US$325m,325,yes,About US$58m,58,no,n.a.,n.a.,n.a.
2010,MEX,2004,PAN,PAN,4.696,0,0,investor,1,0,,0,4.534,,4.523 (2009),ARB(AF)/04/3 (conjoined with ARB (AF)/04/4),"Gemplus S.A., SLP S.A., Gemplus Industrial S.A. de C.V. v. United Mexican States",1,1,0,0,0,FRA,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,France-Mexico BIT,Operate national motor vehicle registry,SER,minimum claim is 20% of 222 million pesos or US$24m,4.8,yes,US$4483164 plus interest and costs,4.5,no,n.a.,n.a.,n.a.
2010,MEX,2004,PAN,PAN,4.696,0,0,investor,1,0,,0,4.534,,4.523 (2009),ARB(AF)/04/4 (conjoined with ARB(AF)/04/3),Talsud SA v. United Mexican States,1,1,0,0,0,ARG,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Argentina-Mexico BIT,Operate national motor vehicle registry,SER,minimum claim is 29% of 222 million pesos or US$24m,7,yes,US$6458721 plus interest and costs,6.5,no,n.a.,n.a.,n.a.
2007,MEX,2004,PAN,PAN,4.696,0,0,investor,1,0,,0,4.588,,4.621 (2006),ARB(AF)/04/5,"Archer Daniels Midland and Tate and Lyle Ingredients Americas, Inc. v. United Mexican States",1,1,0,0,0,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Manufacturing (sweeteners),MFG,US$100m,100,yes,"US$33510091, plus interest",33.5,no,n.a.,n.a.,n.a.
2013,NGA,2011,PDP,PDP,3.857,0,0,investor,1,0,,NA,3.901,,,ARB/11/11,AHS Niger and Menzies Middle East and Africa S.A. v. Republic of Niger,NA,1,0,0,0,BELLUX,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Nigerian Investment Code, Contract",Airport (baggage handling),SER,unknown,unknown,yes,EUR4.6m,6.1,no,n.a.,n.a.,n.a.
2008,PER,2003,PAP,PP,4.167,0,0,investor,1,0,4.167 (2001),0,4.489,,4.489 (2006),ARB/03/28,Duke Energy International Peru Investments No. 1 Ltd. v. Republic of Peru,1,3,1,1,2,BMU,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Contract with host state (""Legal stability"" clause)",Electric power concession,UTL,unknown,unknown,yes,"US$18.4m, plus interest (each party to pay their legal costs and split cost of arbitration)",18.4,yes,2008,2011,upheld
2011,PER,2007,PAP,PAP,4.667,0,0,investor,1,0,4.667 (2006),0,4.489,,4.489 (2006),ARB/07/6,Tza Yap Shum v. Republic of Peru,1,3,1,1,2,CHN,,0,n.a.,n.a.,n.a.,n.a.,ICSID,China-Peru BIT,Manufacturing (fish flour),MFG,Approximately US$20m,20,yes,"US$786,306 plus interest; legal costs unclear",0.8,yes,2011,pending,pending
2012,POL,2009,PO,PiS,3.142,0,0,investor,1,0,,0,3.431,,3.451 (2011),n.a.,Laboratoires Servier v. Poland,1,2,1,NA,1,FRA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,France-Poland BIT,Pharmaceuticals enterprise,MFG,?_235m,309.3,yes,?_4m,5.2,n.a.,n.a.,n.a.,n.a.
2012,PRY,2007,APC,Colorado,4.5,0,NA,investor,1,0,,0,NA,,coalition (Patriotic Alliance for Change),ARB/07/29,SGS Societe Generale de Surveillance SA v. Republic of Paraguay,1,3,1,1,2,CHE,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Paraguay-Switzerland BIT,Consulting services (testing and verification),SER,unknown,unknown,yes,"US$39.03m, plus interest and half of arbitration costs",39,yes,2012,2014,upheld
2012,RUS,2009,United Russia,United Russia,3.167,0,0,investor,1,0,,1,3.183,,3.151 (2011),24/2007,Quasar de Valores SICA SA and ors v Russian Federation,0,2,1,NA,1,ESP,,0,n.a.,n.a.,n.a.,n.a.,SCC,Spain-USSR BIT,Oil and gas,OIL,unknown,unknown,yes,"US$2m, plus interest (legal fees included)",2,n.a.,n.a.,n.a.,n.a.
2010,TGO,2006,RPT,RPT,3.4,0,0,investor,1,0,,NA,3.028,,3.028 (2007),ARB/06/7,Togo Electricite and GDF-Suez Energie Services v. Republic of Togo,NA,0,NA,NA,NA,FRA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Electric power concession,UTL,unknown,unknown,yes,"West African CFA 39.67b, plus interest",80.5,yes,2010,2011,upheld
2004,URY,2002,Colorado,Colorado,4.167,0,0,investor,1,0,,NA,3.899,,,n.a.,"Chemical Overseas Holdings, Inc. (U.S.), Credit Suisse First Boston (Switzerland), & Dresdner Bank Latinamerika (Germany) v. Republic of Uruguay",NA,1,0,0,0,USA,,0,CHE,DEU,n.a.,n.a.,ICC,Contract with host state,Banking,FIN,US$700m,700,yes,"US$100m, plus fees",100,no,n.a.,n.a.,n.a.
1998,VEN,1996,CN,CN,3.444,0,0,investor,1,0,3.444 (1993),0,3.482,,3.482 (1993),ARB/96/3,FEDAX NV v. Republic of Venezuela,1,0,NA,NA,NA,NLD,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Venezuela BIT,Finance (debt instruments),FIN,US$589950 plus interest,0.6,yes,"US$598,950 (as principal of the promissory notes) and US$161,254.14 (as regular and penal interest). Each party to pay their legal costs, Respondent to pay half of Claimant's cost of arbitration",0.8,no,n.a.,n.a.,n.a.
2008,YEM,2005,GPC,GPC,3.429,0,1,investor,1,0,3.429 (2003),0,2.955,,2.955 (2003),ARB/05/17,Desert Line Projects LLC v. Republic of Yemen,1,0,NA,NA,NA,OMN,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Oman-Yemen BIT,Highway construction project,UTL,"Approximately US$250m, plus interest",250,yes,"Award enumerated in two parts: Yemeni Rial 3585446554 and US$1m, plus interest (Respondent to pay claimant US$400k for legal costs and Respondent to cover 70% of cost of arbitration)",18.4,no,n.a.,n.a.,n.a.
2011,ARG,2007,FPV,FPV,1.727,1,1,investor,1,0,,0,1.546,,,ARB/07/17,Impregilo SpA v. Argentine Republic,1,3,1,1,2,ITA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Italy BIT,Water services concession,UTL,US$100m,100,yes,"US$21.3m, plus interest (each party to pay their legal fees and split the cost of arbitraiton)",21.3,yes,2011,2014,upheld
2011,ARG,2003,FPV,PJ,2.545,1,1,investor,1,0,,0,1.546,,,ARB/03/15,El Paso Energy International Company v. Argentine Republic,1,3,1,1,2,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Electric power and hydrocarbon concessions,OIL,"Between US$127m and US$228m, excluding interest and taxes",127,yes,"US$43.03m, plus interest (each party to pay their legal costs and split the arbitration cost)",43,yes,2012,2014,upheld
2007,ARG,2003,FPV,PJ,2.545,1,1,investor,1,0,,0,1.554,,,n.a.,British Gas (BG) Group Plc v Argentine Republic,1,3,1,1,2,GBR,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Argentina-United Kingdom BIT,Oil and gas,OIL,US$238.1m,238.1,yes,"US$185285485.85, plus interest and arbitration costs",185.3,n.a.,n.a.,n.a.,n.a.
2012,ARG,2003,FPV,PJ,2.545,1,1,investor,1,0,,0,1.555,,,ARB/03/23,"EDF International SA, SAUR International SA & L_on Participaciones Argentinas SA v. Argentine Republic",1,3,1,1,2,FRA,,0,BELLUX,n.a.,n.a.,n.a.,ICSID,"Argentina-France BIT, Argentina-Belgium & Luxembourg BIT",Electric power concession,UTL,Approximately US$200m,200,yes,"US$136.14m, plus interest (each party to pay their legal fees and split arbitration costs)",136.1,yes,2012,pending,pending
2008,ARG,2003,FPV,PJ,2.545,1,1,investor,1,0,,0,1.557,,,n.a.,National Grid Plc v. Argentina,1,3,1,1,2,GBR,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Argentina-United Kingdom BIT,Electric power concession,UTL,US$60m plus opportunity cost (US$22.3 million) and loss for time value of money (US$31 million),113.3,yes,"US$38.8m, plus interest",38.8,n.a.,n.a.,n.a.,n.a.
2008,ARG,2003,FPV,PJ,2.545,1,1,investor,1,0,,0,1.557,,,ARB/03/9,Continental Casualty Company v. Argentine Republic,1,3,1,1,2,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Finance (insurance),FIN,"Approximately US$114m, plus interest",114,yes,"US$2.8m, plus interest (each party to pay their own legal fees and split cost of arbitration)",2.8,yes,2009,2011,upheld
2014,ARG,2004,FPV,PJ,2.545,1,1,investor,1,0,,0,1.5605,,,ARB/04/4,SAUR International SA v. Argentine Republic,1,3,1,1,2,FRA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-France BIT,Water and sewage concession,UTL,unknown,unknown,yes,"US$39.99m, plus interest (US$685k plus ?_1.49m for legal costs)",40,yes,2014,pending,pending
2013,ARG,2004,FPV,PJ,2.545,1,1,investor,1,0,,0,1.565,,,ARB/04/1,Total S.A. v. Argentine Republic,1,3,1,1,2,FRA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,France-Argentina BIT,Electric power concession (gas),UTL,Approximately US$1b,1000,yes,unknown,unknown,yes,2014,pending,pending
2010,ARG,2003,FPV,PJ,2.545,1,1,investor,1,0,,1,1.553,,,n.a.,Anglian Water Group (AWG) PLC v. Argentina,0,3,1,1,2,GBR,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Argentina-United Kingdom BIT,Water services concession,UTL,Damages not quantified but estimated in excess of US$100m,100,yes,unknown,unknown,n.a.,n.a.,n.a.,n.a.
2007,ARG,2002,FPV,PJ,2.909,1,1,investor,1,0,,0,1.554,,,ARB/02/8,Siemens AG v. Argentine Republic,1,3,1,1,2,DEU,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Germany BIT,Software,SER,US$462477071,462.5,yes,"US$237.8m, plus interest (each party to pay their legal costs, respondent to pay 75% of arbitration)",237.8,yes,2007,2009,discontinued
2007,ARG,2002,FPV,PJ,2.909,1,1,investor,1,0,,0,1.554,,,ARB/02/1,LG&E Energy Corp.; LG&E Capital Corp.; and LG&E International Inc. v. Argentine Republic,1,3,1,1,2,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Oil and gas (distribution),OIL,"Approximately US$248m, plus interest",248,yes,"US$57.4m, plus interest (each party to pay their legal fees and split the cost of arbitration)",57.4,yes,2008,pending,pending
2007,ARG,2002,FPV,PJ,2.909,1,1,investor,1,0,,1,1.554,,,ARB/02/16,Sempra Energy International v. Argentine Republic,0,3,1,1,2,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Oil and gas,OIL,Approximately US$210m,210,yes,"US$128.25m, plus interest (each party to pay their own legal costs and split arbitration costs)",128.3,yes,2008,pending,pending
2014,BOL,2010,MAS,MAS,1.333,1,1,investor,1,0,,1,1.204,,,2011-17,Guaracachi America Inc. & Rurelec PLC v. Plurinational State of Bolivia,0,3,1,1,2,GBR,,0,USA,n.a.,n.a.,n.a.,PCA,"Bolivia-United States BIT, Bolivia-United Kingdom BIT",Electric power concession,UTL,"Enumerated two claims: US$142.3m and $661.5k, plus interest and costs of arbitration",143,yes,"US$28.9m (parties pay their own legal fees, costs of arbitration split)",28.9,n.a.,n.a.,n.a.,n.a.
2004,CHL,2001,CPD,CPD,2.833,1,1,investor,1,0,,0,2.967,2.927,,ARB/01/7,MTD Equity Sdn. Bhd. & MTD Chile SA v. Chile,1,3,1,1,2,MYS,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Chile-Malaysia BIT,Real estate (residential and commercial),RE,"Approximately US$20m, plus interest",20,yes,"US$5871322.42, plus compound interest (from 5 Nov 1998 until payment, at LIBOR rate on 5 November of each year). Each party to pay their legal costs and costs of arbitration split.",5.9,yes,2004,2007,upheld
2008,CHL,1998,CPD,CPD,2.833,1,1,investor,1,0,,1,2.766,2.712,,ARB/98/2,Victor Pey Casado and President Allende Foundation v. Republic of Chile,0,3,1,1,2,ESP,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Chile-Spain BIT,Publishing (newspaper),SER,Approximately US$397m,397,yes,"US$10132690.18 award, plus interest; Respondent to pay Claimants US$2m for legal fees and US$1045579.35 in arbitration costs",10.1,yes,2009,pending,pending
2003,CZE,2000,CSSD,CSSD,1.571,1,1,investor,1,0,,0,1.829,,,n.a.,CME v. Czech Republic,1,3,1,1,2,NLD,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Netherlands BIT,Broadcasting enterprise,TEL,US$560m plus interest,560,yes,"US$269814000, plus interest (at 10% from 23 February 2003 until payment). Respondent to cover parts of Claimant's legal fees and 2/3 costs of arbitration.",269.8,n.a.,n.a.,n.a.,n.a.
2006,CZE,2001,CSSD,CSSD,1.571,1,1,investor,1,0,,0,1.829,,,n.a.,Saluka Investments BV (The Netherlands) & Nomura (Japan) v. Czech Republic,1,3,1,1,2,NLD,,0,n.a.,n.a.,n.a.,n.a.,PCA,Czech Republic-Netherlands BIT,Banking,FIN,Approximately US$1b,1000,yes,unknown,unknown,n.a.,n.a.,n.a.,n.a.
2008,CZE,2005,ODS,CSSD,1.571,1,0,investor,1,0,,0,4.298,,,n.a.,Pren Nreka v. Czech Republic,1,0,NA,NA,NA,HRV,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Croatia-Czech Republic BIT,Real estate (commercial),RE,unknown,unknown,yes,"US$1.5m, no legal fees specified",1.5,n.a.,n.a.,n.a.,n.a.
2007,CZE,2004,ODS,CSSD,1.571,1,0,investor,1,0,,0,4.332,4.366,,088/2004,Eastern Sugar BV v. Czech Republic,1,0,NA,NA,NA,NLD,,0,n.a.,n.a.,n.a.,n.a.,SCC,Netherlands-Czech Republic BIT,Agricultural enterprise (sugar beets),AGR,"?_88537000, plus interest",100,yes,"US$25539995, plus annual interest of 7%",25.5,n.a.,n.a.,n.a.,n.a.
2012,ECU,2007,PAIS,PAIS,1.667,1,1,investor,1,0,,0,2.937,,,ARB/06/11,Occidental Petroleum Corporation and Occidental Exploration and Production Company v. The Republic of Ecuador,1,3,1,1,2,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Ecuador-United States BIT,Oil and gas (exploration),OIL,US$1b,1000,yes,"US$1,769,625,000, plus pre-award interest (4.188% per year) from 16 May 2006 until date of award, plus post-award interest (costs split evenly)",1769.6,yes,2012,pending,pending
2008,ECU,2004,PAIS,PSP,2.833,1,1,investor,1,0,,0,2.937,,,ARB/04/19,Duke Energy Electroquil Partners & Electroquil SA v. Republic of Ecuador,1,3,1,1,2,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Ecuador-United States BIT, Contract",Electric power concession,UTL,"Approximately US$25m, plus costs",25,yes,"US$5578566, plus simple interest",5.6,no,n.a.,n.a.,n.a.
2008,GAB,2004,PDG,PDG,2.667,1,1,investor,1,0,,0,2.625,,2.452 (2006),ARB/04/5,Compagnie d'Exploitation du Chemin de Fer Transgabonais v. Gabonese Republic,1,0,NA,NA,NA,BELLUX,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Transportation (rail),UTL,unknown,unknown,yes,unknown,unknown,yes,2008,2010,upheld
2016,GAB,2015,PDG,PDG,3,1,1,investor,1,0,,0,2.884,,,n.a.,Kontinental Conseil Ingenierie v. Gabonese Republic,1,NA,NA,NA,NA,TUN,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Organization of Islamic Conference Investment,Construction (private),RE,EUR150m ,158.7,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,GTM,2010,PP,UNE,2,1,0,investor,1,0,,0,4.92,,,ARB/10/23,"TECO Guatemala Holdings, LLC v. Republic of Guatemala",1,1,0,0,0,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,CAFTA-DR,Electric power concession,UTL,US$222484783,222.5,yes,"US$21.1m, plus interest (plus legal costs of US$7.52m)",21.1,yes,2014,pending,pending
2006,HUN,2003,MSzP,MSzP,2.107,1,1,investor,1,0,2 (2002),1,2.461,,,ARB/03/16,ADC Affiliate Limited and ADC & ADMC Management Limited v. Republic of Hungary,0,3,1,1,2,CYP,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Cyprus-Hungary BIT,Airport,SER,US$244373347 (Note: includes interest up to award),244.4,yes,US$82.6,82.6,no,n.a.,n.a.,n.a.
1999,IDN,1998,Golkar,Golkar,2.583,1,1,investor,1,0,,NA,2.788,,,n.a.,Himpurna Califonia v. Indonesia,NA,0,NA,NA,NA,USA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Contract with host state,Electric power concession,UTL,US$315046166,315,yes,Tribunal revised downward due to pre-contractual expenditures; US$273757306,273.8,n.a.,n.a.,n.a.,n.a.
2005,IND,2003,INC,PDI-P,1.967,1,1,investor,1,0,,0,2.394,,2.349 (2004),n.a.,Capital India Power Mauritius I & Energy Enterprises (Mauritius) Company v. Government of India,1,3,1,1,2,MUS,,0,n.a.,n.a.,n.a.,n.a.,ICC,India-Mauritius BIT,Electric power concession,UTL,Each of the two investors claims approximately US$600m,1200,yes,"US$97.4m, plus interest and all legal costs",97.4,no,n.a.,n.a.,n.a.
2013,KAZ,2010,Otan,Otan,2.8666,1,0,investor,1,0,,1,3.026,,NO (Nur Otan),(SCC Case No. 116/2010),"Anatolie Stati, Gabriel Stati, Ascom Group SA & Terra Raf Trans Traiding vs. Kazakhstan",0,1,0,0,0,MDA,,0,ROM,GIB,n.a.,n.a.,SCC,Energy Charter Treaty,Oil and gas (exploration),OIL,US$2631m,2631,yes,US$497m (claimant to pay two thirds of arbitration cost and half of Claimant's legal costs),497,n.a.,n.a.,n.a.,n.a.
1999,KAZ,1996,PPU,PPU,3,1,0,investor,1,0,PPU; 3 (1995),0,3.014,,3.014 (1995),97/1996,"Biedermann International, Inc. v. Kazakhstan",1,2,1,NA,1,USA,,0,n.a.,n.a.,n.a.,n.a.,SCC,Kazakhstan-United States BIT,Oil and gas,OIL,unknown,unknown,yes,US$8.89m,8.9,n.a.,n.a.,n.a.,n.a.
2003,KAZ,2001,Otan,Otan,3,1,0,investor,1,0,,0,3.021,,3.021 (2004),ARB/01/6,"AIG Capital Partners, Inc. & CJSC Tema Real Estate Company v. Kazakhstan",1,2,1,NA,1,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Kazakhstan-United States BIT,Real estate (residential),RE,unknown,unknown,yes,"US$9951709, plus continuing interest",10,no,n.a.,n.a.,n.a.
2014,KGZ,2011,PSDK,PSDK,2.55,1,1,investor,1,0,,0,2.747,,2.808 (2015),n.a.,Valeri Belokon v. Kyrgyz Republic,1,0,NA,NA,NA,LVA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Kyrgyzstan-Latvia BIT,Banking ,FIN,US$100m,100,yes,US$15,15,yes,unknown,n.a.,n.a.
2014,KGZ,2013,PSDK,PSDK,2.65,1,1,investor,1,0,,0,2.747,,2.808 (2015),A-2013/10,OKKV (OKKB) and others v. Kyrgyz Republic,1,0,NA,NA,NA,RUS,,0,n.a,n.a.,n.a.,n.a.,MCC,Moscow Convention for the Protection of Investors?? Rights,Tourism,SER,US$2343862,2.3,yes,US$2.2m,2.2,n.a.,n.a.,n.a.,n.a.
2014,KGZ,2013,PSDK,PSDK,2.65,1,1,investor,1,0,,0,2.747,,2.808 (2015),n.a.,Lee John Beck and Central Asian Development Corporation v. Kyrgyz Republic,1,0,NA,NA,NA,KOR,,0,n.a.,n.a.,n.a.,n.a.,MCC,Moscow Convention for the Protection of Investors?? Rights,unknown,unknown,unknown,unknown,yes,US$23m,23,n.a.,n.a.,n.a.,n.a.
2014,KGZ,2013,PSDK,PSDK,2.65,1,1,investor,1,0,,0,2.747,,2.808 (2015),n.a.,Stans Energy v. Kyrgyz Republic,1,0,NA,NA,NA,CAN,,0,n.a.,n.a.,n.a.,n.a.,MCC,Moscow Convention for the Protection of Investors?? Rights,Mining (rare earths),MIN,US$117.8m,117.8,yes,US$118m,118,n.a.,n.a.,n.a.,n.a.
2009,LAO,2007,LPRP,LPRP,2,1,1,investor,1,0,,0,2.034,,,n.a.,"Thai-Lao Lignite Co., Ltd. and Hongsa Lignite Co., Ltd., vs. Laos",1,3,1,1,2,THA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Contract with host state,Electric power concession (coal),UTL,US$447m,447,yes,US$56.21m,56.2,n.a.,n.a.,n.a.,n.a.
2005,MDA,2004,PCRM,PCRM,1.5,1,1,investor,1,0,,0,1.573,,,n.a.,"Iurii Bogdanov, Agurdino-Invest Ltd & Agurdino-Chimia JSC v. Republic of Moldova",1,3,1,1,2,RUS,,0,n.a.,n.a.,n.a.,n.a.,SCC,Moldova-Russian Federation BIT,Manufacturing (paints),MFG,"Not less than Moldovan Lei 621021, plus interest",0.05,yes,"Moldovan Lei 310000, awarded plus interest amounting to Moldovan Lei 384896",0.02,n.a.,n.a.,n.a.,n.a.
2010,MDA,2005,PL,PCRM,1.5,1,0,investor,1,0,,NA,4.684,,,n.a.,Bogdanov (individual) v. Republic of Moldova,NA,1,0,0,0,RUS,,0,n.a.,n.a.,n.a.,n.a.,SCC,Moldova-Russian Federation BIT,Manufacturing (chemical products),MFG,Approximately US$0.071m,0.07,yes,"Moldovan Lei 475,386; Respondent to pay 2/3 of Claimant's legal costs",0.04,n.a.,n.a.,n.a.,n.a.
2012,MKD,2009,VMRO-DPMNE,SDSM,2.25,1,0,investor,1,0,,0,4.507,,4.577 (2011),ARB/09/16,"Swisslion DOO Skopje v. Macedonia, former Yugoslav Republic of",1,0,NA,NA,NA,CHE,,1,n.a.,n.a.,n.a.,n.a.,ICSID,"Serbia-Macedonia BIT, Switzerland-Macedonia BIT",Manufacturing (confectionary),MFG,unknown,unknown,yes,?_350k; Respondent to pay additional ?_350k to the Claimant for legal fees and expenses,0.5,no,n.a.,n.a.,n.a.
2003,MLI,2001,independent,Adema,2,1,1,investor,1,0,,NA,2.238,,,ARB/01/5,Societe d'Exploitation des Mines d'or de Sadiola SA v. Republic of Mali,NA,0,NA,NA,NA,ZAF,,0,n.a.,n.a.,n.a.,n.a.,ICSID,other (as coded by ICSID),Mining (gold),MIN,unknown,unknown,yes,West African CFA 1800240000,2.6,no,n.a.,n.a.,n.a.
2011,MNG,2008,DP,MPRP,1,1,1,investor,1,0,1 (2016),0,2.54,,2.458 (2012),n.a.,"Sergei Paushok, et al v. Mongolia",1,0,NA,NA,NA,RUS,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Mongolia-Russia BIT,Mining (gold),MIN,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2015,MNG,2011,DP,DP,2.125,1,1,investor,1,0,,0,2.862,,2.997 (2016),9/1/2011,"Khan Resources Inc., Khan Resources B.V. and Cauc Holding Company Ltd. v. the Government of Mongolia and Monatom Co., Ltd.",1,0,NA,NA,NA,CAN,,0,NLD,VGB,n.a.,n.a.,PCA,Energy Charter Treaty,Mining (uranium),MIN,US$358m,358,yes,US$80,80,yes,2015,pending,pending
2008,POL,2004,PiS,SLD,2.322,1,0,investor,1,0,,0,3.086,,3.276 (2007),ARB(AF)/04/2,Cargill Incorporated v. Republic of Poland,1,1,0,0,0,USA,,0,n.a.,n.a.,n.a.,n.a.,ISCID AF,Poland-United States BIT,Manufacturing (isoglucose),MFG,Approximately US$150m,150,yes,US$16.3m,16.3,no,n.a.,n.a.,n.a.
2005,POL,2003,SLD,SLD,2.357,1,1,investor,1,0,,0,2.603,,,n.a.,Eureko BV v. Poland,1,3,1,1,2,NLD,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Netherlands-Poland BIT,Finance (insurance),FIN,unknown,unknown,yes,unknown,unknown,n.a.,n.a.,n.a.,n.a.
2012,SVK,2008,SDKU,Direction,1.9,1,0,investor,1,0,,0,4.173,,,2008-13,Achmea B.V. v. Slovak Republic (formerly Eureko BV v Slovak Republic),1,3,1,1,2,NLD,,0,n.a.,n.a.,n.a.,n.a.,PCA,Netherlands-Slovak Republic BIT,Health services,SER,unknown,unknown,yes,"?_22.1m, plus interest and taxes on the award, plus ?_3.1m for legal costs",28.6,n.a.,n.a.,n.a.,n.a.
2004,SVK,1997,SDKU,HZDS,2.85,1,0,investor,1,0,,0,4.495,,,ARB/97/4,"Ceskoslovenska Obchodni Banka, a.s. v. Slovak Republic",1,0,NA,NA,NA,CZE,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Czech Republic-Slovak Republic BIT,Finance (debt instruments),FIN,"Slovak Crowns 40.3 billion, plus interest",1400,yes,"Slovak Crowns 24796381842.00 plus 24796381842.00 in interest (plus US$ 10,000,000 in legal fees for claimant) ??this says 10 million USD in legal fees?!?",800,no,n.a.,n.a.,n.a.
2009,THA,2005,PPP,TRT,2,1,0,investor,1,0,,0,4.218,,PP,n.a.,Walter Bau vs. Thailand,1,0,NA,NA,NA,DEU,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Germany-Thailand BIT,Highway construction project,UTL,unknown,unknown,yes,"?_29.2m, plus interest, plus ?_1.8m towards the Claimant??s costs and expenses in arbitration",40.8,n.a.,n.a.,n.a.,n.a.
2000,TKM,1996,DPT,DPT,2,1,1,investor,1,0,,0,2.062,,,9151/FMS/KGA,Joint Venture Yashlar & Bridas SAIPIC v. Turkmenistan,1,3,1,1,2,ARG,,0,n.a.,n.a.,n.a.,n.a.,ICC,Contract with host state,Oil and gas (exploration),OIL,US$247m,247,yes,"US$1758330, legal fees not specified",1.8,no,n.a.,n.a.,n.a.
2012,TKM,2009,DPT,DPT,2,1,1,investor,1,0,,0,2.062,,,ARB/09/9,Adem Dogan v. Turkmenistan,1,3,1,1,2,DEU,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Germany-Turkmenistan BIT,Agricultural enterprise (poultry),AGR,unknown,unknown,yes,unknown,unknown,yes,2014,pending,pending
